housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,0,3,lekki,"Top Notched Super Luxury 9 Units Of 3 Bedroom Block Of Flats With Bq For Sale!!!3 BEDROOM FLAT & APARTMENT FOR RENT Lekki Lekki Phase 1 Lekki Phase 1 Lekki Lagos   Updated 22 Sep 2022,  30 Jun 2021",680000000,35,eti osa
flat / apartment,3,3,0,3,oshodi ajao,14 Nos Of 3 Bedroom Flats Each On 3 Stories BuildingBLOCK OF FLATS FOR RENT Ajao Estate Isolo Isolo Lagos   Updated Today,600000000,47,oshodi
flat / apartment,3,3,0,3,oshodi ajao,14 Nos Of 3 Bedroom Flats Each On 3 Stories Building3 BEDROOM BLOCK OF FLATS FOR RENT Ajao Estate Oshodi Lagos   Updated Today,600000000,47,oshodi
flat / apartment,3,3,1,3,victoria island,"Luxury 3 Bedroom Ocean View Residential Tower Project Located In A Prime Serene Part Of The Prestigious City Of Eko Atlantic City3 BEDROOM BLOCK OF FLATS FOR RENT Eko Atlantic City Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  22 Aug 2022",590000000,51,eti osa
penthouse,4,4,1,4,lekki,2 Units Of 4 Bedroom Penthouse With A Bq4 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,550000000,35,eti osa
flat / apartment,5,5,0,4,ikoyi,"Maisonette's For Sale5 BEDROOM FLAT & APARTMENT FOR RENT Lugard Avenue Ikoyi Ikoyi Lagos   Updated 30 Aug 2022,  01 Jul 2021",550000000,25,eti osa
flat / apartment,2,2,1,2,lekki,Luxury 2 Bedroom Apartment And 2 Bq Fully Detached2 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Phase 1 Lekki Lagos   Updated Today,500000000,35,eti osa
flat / apartment,4,4,0,4,ikoyi,"Luxurious 4 Bedroom Maisonette4 BEDROOM FLAT & APARTMENT FOR RENT Off 3rd Avenue Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  18 Feb 2021",478799774,25,eti osa
flat / apartment,3,3,1,3,victoria island,"Luxury Ocean View 3 Bedroom Apartment In A Prime Serene Part Of The Prestigious City Of Eko Atlantic City3 BEDROOM BLOCK OF FLATS FOR RENT Eko Atlantic City Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  22 Aug 2022",450000000,51,eti osa
flat / apartment,5,5,1,4,ikoyi,"Opulent 5 Bedroom Penthouse On 2 Floors + Rooftop + Pool Etc In Central Ikoyi @n450m!5 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Ikoyi Lagos   Updated 17 Sep 2022,  30 Nov 2020",450000000,25,eti osa
penthouse,4,4,0,4,ikoyi,"Luxury 4 Bedroom Maisonette And Penthouse (off Plan)4 BEDROOM FLAT & APARTMENT FOR RENT Off 1st Avenue Banana Island Ikoyi Lagos   Updated 30 Aug 2022,  02 Aug 2021",450000000,25,eti osa
