housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,1,2,ogba,"Newly Built Modern House Of 6 Nos Of 3 Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT Irepo Street,oke Ira Ogba Ikeja Lagos 20 Sep 2021",1600000,38,ikeja
flat / apartment,2,2,0,4,lekki,Cool Two Bedroom At Ilasan Close To Ikate. Lekki Rent=1.6 M2 BEDROOM FLAT & APARTMENT FOR RENT Ilasan Close To Ikate. Lekki Ikate Elegushi Lekki Lagos 11 Sep 2021,1600000,35,eti osa
flat / apartment,3,3,0,2,lekki,Executive 3bedrm Apartment With Visitor's Toilet & Balcony (upstairs) Off Alpha Beach Road By New Rd3 BEDROOM FLAT & APARTMENT FOR RENT Off Alpha Beach Road By New Road Igbo Efon Lekki Lagos 31 Aug 2021,1600000,35,eti osa
flat / apartment,2,2,0,4,lekki,"Lovely 2 Bedroom Bungalow Apartment (2 Apartments In The Compound) Located Off Spg Road, Ologolo, Lekki2 BEDROOM FLAT & APARTMENT FOR RENT Off Spg Road, Ologolo, Lekki Ologolo Lekki Lagos 28 Jul 2021",1600000,35,eti osa
flat / apartment,3,3,1,2,lekki,3 Bedroom Flat Available For Rent3 BEDROOM FLAT & APARTMENT FOR RENT Block 52 Van Daniels Estate Orchid Lekki Phase 2 Lekki Lagos 21 Jun 2021,1600000,35,eti osa
flat / apartment,2,2,0,2,ajah,"To Let. Brand New, Very Clean & Spacious 2 Bedroom Flat In Peninsula Garden Estate Sangotedo Ajah2 BEDROOM FLAT & APARTMENT FOR RENT Peninsula Garden Estate Sangotedo Ajah Sangotedo Ajah Lagos 09 Jun 2021",1600000,5,eti osa
flat / apartment,3,3,0,2,lekki,"Clean 3 Bedroom Flat Upstairs At Spg Road By Igboefon Lekki Lagos,3 BEDROOM FLAT & APARTMENT FOR RENT Spg Road By Igboefon Lekki Lagos, Igbo Efon Lekki Lagos 30 May 2021",1600000,35,eti osa
flat / apartment,3,3,1,2,agege,"Letting In Gemade Estate, Egbeda.* An Executive 3bedroom Flat Upstairs. *pay And Pack In.3 BEDROOM FLAT & APARTMENT FOR RENT Gemade Estate, Egbeda Egbeda Agege Lagos 13 May 2021",1600000,4,agege
mini flat (room and parlour) ,1,1,0,2,lekki,Brand New Luxury Serviced 1 Bedroom Apartment1 BEDROOM FLAT & APARTMENT FOR RENT Salem Ilasan Ikate Elegushi Lekki Lagos 04 Apr 2021,1600000,35,eti osa
flat / apartment,3,3,1,4,lekki,3 Bedroom Apartment For Rent3 BEDROOM FLAT & APARTMENT FOR RENT Lekki County Homes Ikota Lekki Lagos 01 Dec 2020,1600000,35,eti osa
flat / apartment,3,3,1,4,ikeja,Newly Built 3 Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT Alausa Alausa Ikeja Lagos   Added 15 Sep 2020,1600000,20,ikeja
flat / apartment,3,2,0,4,ikeja adeniyi jones,"1 Units Service 3 Bedroom Apartment3 BEDROOM FLAT & APARTMENT FOR RENT Akinola Cole, Adebiyi Jones Ikeja., Adeniyi Jones, Ikeja, Lagos Ikeja Ikeja Lagos   Added 08 Sep 2020",1600000,21,ikeja
building,3,3,1,4,ikeja adeniyi jones,A 3 Bedroom Duplex With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Adeniyi Jones Ikeja Ikeja Lagos   Added 31 Aug 2020,1600000,21,ikeja
flat / apartment,3,3,0,4,lekki,Executively And Well Finihed 3 Bedroom And A Room Bq.3 BEDROOM FLAT & APARTMENT FOR RENT Road 34 House 8 Ikota Lekki Lagos   Added 07 Aug 2020,1600000,35,eti osa
flat / apartment,3,3,0,4,yaba,"Three Bedroom Flat Available For Rent, Yaba, Lagos Mainland3 BEDROOM FLAT & APARTMENT FOR RENT Makoko Road Yaba Yaba Lagos   Added 11 Jul 2020",1600000,52,lagos mainland
mini flat (room and parlour) ,1,1,0,1,lekki,Lovely Mini Flat For Rent1 BEDROOM FLAT & APARTMENT FOR RENT Lekki Phase 1 Lekki Phase 1 Lekki Lagos   Added 05 Jun 2020,1600000,35,eti osa
flat / apartment,2,2,0,2,lekki,Modern Serviced 2 Bedroom Flat2 BEDROOM FLAT & APARTMENT FOR RENT Ikota Ikota Lekki Lagos   Added 14 Apr 2020,1600000,35,eti osa
flat / apartment,3,3,1,1,lekki,"3 Bedroom, All Room Ensuite Apt3 BEDROOM FLAT & APARTMENT FOR RENT 1 Abolakale Arikawe Street Igbo Efon Lekki Lagos   Added 20 Sep 2019",1600000,35,eti osa
flat / apartment,3,3,1,2,lekki,A Self Service 3 Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT Agungi Agungi Lekki Lagos   Added 06 Jun 2019,1600000,35,eti osa
flat / apartment,3,3,1,2,ajah,Three Bedroom Ensuite In Ajah3 BEDROOM FLAT & APARTMENT FOR RENT Thomas Estate Ajah Ajah Lagos   Added 25 Apr 2019,1600000,5,eti osa
flat / apartment,3,3,0,2,lekki,Newly Renovated 3 Bedroom Flat For Rent In Agungi3 BEDROOM FLAT & APARTMENT FOR RENT Agungi Agungi Lekki Lagos   Added 09 Apr 2019,1600000,35,eti osa
flat / apartment,4,4,0,2,opebi,Well Built 4 Bedroom Flat In Opebi4 BEDROOM FLAT & APARTMENT FOR RENT Opebi Opebi Ikeja Lagos   Added 10 Mar 2019,1600000,44,ikeja
flat / apartment,3,2,1,2,lekki,Generously Spaced 3 Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT Road 34 House 8 Ikota Lekki Lagos   Added 28 Feb 2019,1600000,35,eti osa
flat / apartment,3,3,1,2,lekki,A Lovely & Well Serviced 3 Bedroom Apartments With Bq Up For Rent!!!3 BEDROOM FLAT & APARTMENT FOR RENT Lekky County Homes Ikota Lekki Lagos   Added 26 Feb 2019,1600000,35,eti osa
flat / apartment,3,3,0,2,lekki,Tastefully And Well Finished Three Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT 16 Ademola Eletu Street Osapa Lagos Osapa Lekki Lagos   Added 20 Feb 2019,1600000,35,eti osa
flat / apartment,3,3,1,2,lekki,Tastefully And Well Finished Three Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT 40b Road 3 Ikota Villa Estate Ikota Lekki Lagos   Added 12 Feb 2019,1600000,35,eti osa
flat / apartment,2,2,0,2,lekki,Neatly Renovated Two Bedroom Flat For Rent In Agungi2 BEDROOM FLAT & APARTMENT FOR RENT Agungi Agungi Lekki Lagos   Added 04 Feb 2019,1600000,35,eti osa
flat / apartment,2,2,0,2,lekki,Two Bedroom Apartment For Rent In Agungi2 BEDROOM FLAT & APARTMENT FOR RENT Agungi Agungi Lekki Lagos   Added 28 Jan 2019,1600000,35,eti osa
flat / apartment,1,2,1,1,lekki,Cute Serviced Mini Flat1 BEDROOM FLAT & APARTMENT FOR RENT Abioro Street Ikate Ikate Elegushi Lekki Lagos   Added 06 Jan 2019,1600000,35,eti osa
flat / apartment,3,3,0,3,isolo ago palace,"Tastefully Built 3 Bedroom FlatFLAT & APARTMENT FOR RENT Greenfield Estate, Off Ago Palace Way Ago Palace Isolo Lagos 21 Sep 2022",1550000,28,oshodi
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
flat / apartment,2,2,1,0,ajah,"Thomas Estate, Ajah, Lagos",1500000,5,eti osa
